,time_sec,gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y,set_x,set_y,set_z,WTransG_x,WTransG_y,WTransG_z,RegSgaze_x,RegSgaze_y,RegSgaze_z,CalPSgaze_x,CalPSgaze_y,CalPSgaze_z,ROpenClose,LOpenClose
65,2025-10-22 20:54:42.384970,-0.17429327964782715,-0.1435023844242096,0.9735265374183655,379.6087341308594,177.9629364013672,0.0,58,157,154,148,-4.1657577,3.18989,1.1581128,470,451,298,168,0,-182.6120833264218,44.43283027138623,489.6028577539766,377.19190856802317,174.6203215351928,0.0,381.31569607616063,178.30040657898115,0.0,1,1
66,2025-10-22 20:54:42.436279,-0.17429327964782715,-0.1637687385082245,0.9704329371452332,379.42156982421875,183.5244140625,0.0,57,156,153,148,-4.682011,4.371189,1.7927282,471,451,298,168,0,-182.66114365036015,44.513129159207004,489.58091807935386,377.5164600101691,185.15176634665886,0.0,381.64024751830664,188.8318513904472,0.0,1,1
67,2025-10-22 20:54:42.490595,-0.17667466402053833,-0.15960444509983063,0.9704329371452332,380.2813415527344,184.8565216064453,0.0,58,157,153,150,-4.8275795,4.7328205,1.7199104,471,450,298,168,0,-182.7135179977566,44.60189476119716,489.55262443482184,378.76508556969486,183.1350032683474,0.0,382.88887307783233,186.8150883121357,0.0,1,1
68,2025-10-22 20:54:42.554707,-0.18352024257183075,-0.15960444509983063,0.9694440364837646,383.1752014160156,185.397705078125,0.0,58,157,153,149,-5.0595193,3.706686,1.8681743,471,451,298,168,0,-182.71140319371756,44.66527994084597,489.54761476909465,382.30983778943494,183.27969499370064,0.0,386.4336252975724,186.959780037489,0.0,1,1
69,2025-10-22 20:54:42.616550,-0.18352024257183075,-0.1427370011806488,0.9694440364837646,384.35211181640625,179.55007934570312,0.0,58,156,153,148,-4.3122425,4.106267,1.1215851,471,452,298,168,0,-182.61402030288238,44.663357345005,489.58100014035125,382.218774903882,174.76500497701574,0.0,386.34256241201945,178.44509002080406,0.0,1,1
70,2025-10-22 20:54:42.679854,-0.18629200756549835,-0.1427370011806488,0.9694440364837646,385.6312255859375,176.88861083984375,0.0,57,156,153,148,-4.421764,4.662752,1.3084342,471,452,298,168,0,-182.56543432634712,44.666398599605074,489.5991199754884,383.5734458529888,174.77071412252235,0.0,387.6972333611263,178.4507991663107,0.0,1,1
71,2025-10-22 20:54:42.745361,-0.18629200756549835,-0.14110635221004486,0.970665693283081,385.9263916015625,175.5569305419922,0.0,57,155,153,148,-4.325882,5.20872,1.6212957,471,452,298,168,0,-182.55201378457875,44.951736279123566,489.5778641718852,383.43753496729954,174.1397438465292,0.0,387.561322475437,177.81982889031758,0.0,1,1
72,2025-10-22 20:54:42.811217,-0.1823837161064148,-0.14110635221004486,0.9728986024856567,384.2463684082031,174.84104919433594,0.0,58,155,153,148,-4.0898247,3.646244,1.0637128,471,452,298,168,0,-182.35516940765064,44.46711405165823,489.6978495781159,381.080819724004,173.50918034241744,0.0,385.2046072321415,177.18926538620582,0.0,1,1
73,2025-10-22 20:54:42.874356,-0.1823837161064148,-0.14110635221004486,0.9728986024856567,383.55267333984375,174.89161682128906,0.0,59,157,154,149,-4.270697,4.648017,1.3182218,470,451,298,168,0,-182.59021093235012,44.64709987120593,489.5921321527744,381.2960430098431,173.67383321748682,0.0,385.4198305179806,177.35391826127517,0.0,1,1
74,2025-10-22 20:54:42.937514,-0.192582368850708,-0.1378118395805359,0.9716999530792236,387.08392333984375,174.03558349609375,0.0,57,157,153,149,-4.9103403,3.7648602,1.6694648,471,451,298,168,0,-182.81558380170048,44.710950435907364,489.5010668920888,386.75518771934696,172.1524182590867,0.0,390.87897522748443,175.83250330287504,0.0,1,1
